article,german,level,category,plural,chapter,duolingo
der,Brand,B2,Noun,,,
das,Braten,B2,Noun,,,
der,Brathering,B2,Noun,,,
die,Bratkartoffel,B2,Noun,,,
die,Bratwurst,B1,Noun,Bratwürste,1.8,
die,Brauerei,B2,Noun,,,
die,Breite,B1,Noun,,,
die,Bremse,B1,Noun,,,
die,Brennkunst,B2,Noun,,,
die,Brezel,B1,Noun,Brezeln,2.2,
der,Brief,A1,Noun,Briefe,1.5,
der,Briefkasten,B1,Noun,,,
die,Briefmarke,A1,Noun,,,
die,Brieftasche,B1,Noun,,,
der,Briefträger,B1,Noun,,,
der,Briefumschlag,B1,Noun,,,
die,Brombeere,B2,Noun,,,
die,Broschüre,B1,Noun,,,
das,Brustschwimmen,B2,Noun,,,
die,Buchhaltung,B2,Noun,,,
die,Buchhandlung,B1,Noun,,,
der,Buchladen,B2,Noun,,,
der,Buchstabe,A1,Noun,,,
die,Bucht,A2,Noun,,,
die,Bude,B2,Noun,,,
das,Buffet,B2,Noun,,,
der,Bundespräsident,B1,Noun,,,
die,Bundesregierung,B1,Noun,,,
die,Bundesrepublik,B2,Noun,,,
der,Bundestag,B1,Noun,,,
die,Bundestagswahl,B2,Noun,,,
die,Bundeswehr,B2,Noun,,,
der,Bunker,B2,Noun,,,
der,Bunkerweg,B2,Noun,,,
die,Burg,B2,Noun,Burgen,1.6,
der,Burgerladen,B1,Noun,,,
der,Busfahrer,A2,Noun,,,
das,Café,A1,Noun,,,
das,Cafe,A2,Noun,,,
die,Cafeteria,A2,Noun,,,
der,Campus,B2,Noun,,,
der,Caterer,B1,Noun,,,
die,CD,A2,Noun,CDs,1.7,
der,Champignon,B2,Noun,,,
die,Chance,A2,Noun,,,
das,Chaos,A2,Noun,,,
der,Charakter,B2,Noun,,,
die,Charaktereigenschaft,B2,Noun,,,
der,Chat,B2,Noun,,,
die,Chemie,B1,Noun,,1.7,
der,Chip,A2,Noun,Chips,1.6,
die,Chipkarte,B2,Noun,,,
die,Choreografie,B2,Noun,,,
der,Club,A2,Noun,,,
der,Comic,A2,Noun,,,
der,Computer,A1,Noun,Computer,1.1,
der,Computerladen,A1,Noun,,,
das,Computerspiel,B2,Noun,,,
der,Cornflake,A2,Noun,,,
die,Couch,B1,Noun,,,
die,Creme,A2,Noun,,,
die,Currywurst,B1,Noun,Currywürste,1.8,
die,Currywurst,B2,Noun,,,
der,Döner,B1,Noun,,,
das,Dönerfleisch,B2,Noun,,,
der,Dönerimbiss,B2,Noun,,,
der,Dönerladen,B2,Noun,,,
der,Dönerspieß,B2,Noun,,,
der,Dank,A1,Noun,,,
die,Dankbarkeit,B2,Noun,,,
die,Darstellung,B1,Noun,,,
das,Date,B2,Noun,,,
die,Datei,A2,Noun,,,
der,Dativ,B2,Noun,,,
die,Dativpräposition,B2,Noun,,,
das,Datum,A1,Noun,Daten,1.6,
die,Dauer,B1,Noun,,2.2,
der,Daumen,B2,Noun,,,
die,Debatte,B2,Noun,,,
das,Deck,A2,Noun,,,
der,Dedektiv,B2,Noun,,,
die,Degradierung,B2,Noun,,,
die,Deklination,B2,Noun,,,
die,Dekoration,B2,Noun,,,
der,Delfin,B1,Noun,,,
die,Demo,B2,Noun,,,
das,Denkmal,B1,Noun,,,
der,Denkprozess,B2,Noun,,,
die,Dependance,B2,Noun,,,
das,Dessert,B1,Noun,,,
das,Detail,B2,Noun,,,
die,Deutschklasse,A1,Noun,,,
der,Deutschlehrer,A1,Noun,,,
die,Deutschlehrerin,B2,Noun,,,
das,Deutschlernen,A2,Noun,,,
der,Deutschlerner,B2,Noun,,,
der,Deutschunterricht,B2,Noun,,,
der,Dezember,A1,Noun,,1.6,
der,Dialekt,B1,Noun,,,
der,Dialektsprecher,B2,Noun,,,
der,Dialog,B1,Noun,,,
der,Dichter,B2,Noun,,,
der,Dieb,B1,Noun,,,
der,Diebstahl,B2,Noun,,,
der,Dienst,B1,Noun,,,
die,Dienstleistung,B2,Noun,,,
das,Ding,A2,Noun,,,
das,Diplom,B1,Noun,,,
der,Direktor,B1,Noun,,,
die,Disco,A2,Noun,,,
der,Discounter,B2,Noun,,,
die,Diskothek,B1,Noun,,,
die,Diskriminierung,B2,Noun,,,
die,Diskussion,B1,Noun,,,
das,Diskussionsthema,B2,Noun,,,
die,Distanz,A2,Noun,,,
die,Disziplin,B1,Noun,,,
der,Doktor,A1,Noun,,,
das,Dokument,B1,Noun,,,
die,Dokumentation,B2,Noun,,,
der,Dom,B1,Noun,,,
der,Donner,B1,Noun,,,
der,Doppeldekcer,,Noun,Doppeldecker,2.2,
das,Doppelzimmer,A1,Noun,,,
die,Dose,B1,Noun,,,
der,Dosenöffner,B1,Noun,,,
der,Drachen,,Noun,Drachen,2.2,
die,Drachenfrucht,B2,Noun,,,
das,Drama,B2,Noun,,,
der,Dreck,A2,Noun,,,
das,Drehen,B2,Noun,,,
der,Drive-in,A2,Noun,,,
die,Droge,B1,Noun,,,
das,Drogenkartell,B2,Noun,,,
die,Drogerie,B1,Noun,,,
der,Drogeriemarkt,B2,Noun,,,
der,Druck,B2,Noun,,,
der,Drucker,A1,Noun,,,
die,Drucksache,B2,Noun,,,
das,Drug,B2,Noun,,,
der,Duden,B2,Noun,,,
der,Durchschnitt,B1,Noun,,,
die,Durchschnittstemperatur,B2,Noun,,,
der,Durchsetzungswille,B2,Noun,,,
die,E-Mail,A2,Noun,,,
die,E-Mail-Adresse,B1,Noun,E-Mail-Adressen,1.2,
das,Echo,B2,Noun,,,
die,Ehe,B1,Noun,,,
die,Ehefrau,A1,Noun,,,
der,Ehemann,A1,Noun,,,
das,Ehepaar,B1,Noun,,,
der,Ehepartner,A2,Noun,,,
der,Ehrgeiz,B2,Noun,,,
die,Ehrlichkeit,B2,Noun,,,
das,Eichhörnchen,A2,Noun,,,
die,Eidechse,B2,Noun,,,
der,Eierlikör,B2,Noun,,,
die,Eiernudel,B2,Noun,,,
das,Eigelb,B2,Noun,,,
die,Eigenschaft,B2,Noun,,,
die,Eigenverantwortung,B2,Noun,,,
die,Eile,B1,Noun,,,
die,Einbahnstraße,B2,Noun,,,
der,Einbrecher,B2,Noun,,,
der,Einbruch,B1,Noun,,,
der,Eindruck,B1,Noun,,,
die,Einführung,B1,Noun,,,
die,Einfachheit,B2,Noun,,,
die,Einfahrt,B1,Noun,,,
der,Einfall,B1,Noun,,,
der,Einfluss,B1,Noun,,,
der,Eingang,A1,Noun,,,
die,Einhaltung,B2,Noun,,,
der,Einkauf,B1,Noun,,,
das,Einkaufen,A2,Noun,,,
der,Einkaufskorb,B1,Noun,,,
die,Einkaufsliste,,Noun,Einkaufslisten,1.6,
das,Einkaufswagenpfand,B2,Noun,,,
das,Einkommen,B1,Noun,,,
der,Einkommensschwache,B2,Noun,,,
die,Einladung,A1,Noun,,,
die,Einleitung,B2,Noun,,,
die,Einnahme,B1,Noun,,,
das,Einpacken,A2,Noun,,,
die,Einrichtung,B1,Noun,,,
die,Einstellung,B2,Noun,,,
der,Eintopf,B2,Noun,,,
der,Eintritt,A1,Noun,,,
die,Einwanderungswelle,B2,Noun,,,
das,Einzelkind,A2,Noun,Einzelkinder,1.3,
das,Einzelteil,B2,Noun,,,
das,Einzelzimmer,A1,Noun,,,
die,Einzige,B1,Noun,,,
der,Eisbär,A2,Noun,,,
der,Eisbecher,,Noun,Eisbecher,2.2,
die,Eisdiele,B2,Noun,Eisdielen,2.1,
die,Eisenbahn,B2,Noun,,,
der,Eisladen,B2,Noun,,,
der,Eispickel,B2,Noun,,,
der,Eistee,,Noun,Eistees,1.6,
der,Eiswagen,B2,Noun,,,
die,Eizelle,B2,Noun,,,
der,Elefant,B2,Noun,Elefanten,1.4,
das,Elektrofahrzeug,B2,Noun,,,
das,Elfmeterschießen,B2,Noun,,,
der,Ellenbogen,B2,Noun,Ellenbogen,1.8,
die,Email,A2,Noun,,,
die,Emotion,B2,Noun,,,
die,Emotionalität,B2,Noun,,,
der,Empfänger,A2,Noun,,,
die,Energie,B1,Noun,,,
der,Energiemarkt,B2,Noun,,,
der,Engel,B2,Noun,,,
der,Engländer,A2,Noun,,,
das,Enkelkind,,Noun,Enkelkinder,1.3,
die,Entfernung,B1,Noun,,,
die,Entlassung,B1,Noun,,,
die,Entscheidung,B1,Noun,,,
die,Entspannung,B2,Noun,,,
die,Enttäuschung,B2,Noun,,,
die,Entwicklung,B1,Noun,,,
die,Eröffnung,B1,Noun,,,
die,Erbse,B2,Noun,,,
das,Erdgeschoss,B1,Noun,,,
die,Erdkunde,B2,Noun,,1.7,
das,Ereignis,B1,Noun,,,
die,Erfahrung,B1,Noun,,,
die,Erfindung,B1,Noun,,,
der,Erfolg,B1,Noun,,,
das,Erfrischungsgetränk,B2,Noun,,,
das,Ergebnis,A1,Noun,,,
die,Erhöhung,B1,Noun,,,
die,Erholung,B1,Noun,,,
die,Erinnerung,B1,Noun,,,
die,Erkältung,B1,Noun,,,
die,Erklärung,B1,Noun,,,
die,Erlaubnis,A2,Noun,,,
das,Erlebnis,B1,Noun,,,
das,Erlernen,B2,Noun,,,
die,Ermäßigung,A2,Noun,,,
die,Ernsthaftigkeit,B2,Noun,,,
die,Ernte,B1,Noun,,,
der,Ersatz,B1,Noun,,,
das,Erstaunen,B2,Noun,,,
die,Erststimme,B2,Noun,,,
das,Erwachsensein,B2,Noun,,,
die,Erwartung,B2,Noun,,,
die,Erzählung,B1,Noun,,,
der,Erzieher,B2,Noun,,,
die,Erziehung,B1,Noun,,,
der,Esel,B2,Noun,Esel,1.4,
der,Essig,B2,Noun,,,
der,Esstisch,B2,Noun,,,
das,Esszimmer,B2,Noun,,,
die,Etage,B1,Noun,,,
die,Eule,A2,Noun,,,
die,Europameisterschaft,B2,Noun,,,
der,Experte,B1,Noun,,,
der,Export,B2,Noun,,,
das,Extra,B2,Noun,,,
die,Fähigkeit,B1,Noun,,,
die,Förderung,B1,Noun,,,
der,Führer,A2,Noun,,,
der,Führerschein,B1,Noun,,,
die,Führung,A1,Noun,Führungen,2.2,
die,Führungsposition,B2,Noun,,,
die,Füllung,B2,Noun,,,
das,Füllwort,B2,Noun,,,
die,Fabrik,B1,Noun,,,
das,Fach,B1,Noun,Fächer,1.7,
die,Fachliteratur,B2,Noun,,,
der,Fachmann,B2,Noun,,,
die,Fachschule,B2,Noun,,,
die,Fahne,B2,Noun,,1.3,
die,Fahrkarte,B1,Noun,,,
der,Fahrplan,A2,Noun,,,
das,Fahrradfahren,B2,Noun,,1.1,
das,Fahrradgeschäft,B2,Noun,,,
der,Fahrradhelm,B2,Noun,,,
die,Fahrradkleidung,B2,Noun,,,
der,Fahrradständer,B2,Noun,,,
die,Fahrradtasche,B2,Noun,,,
die,Fahrradtour,A2,Noun,,,
die,Fahrtzeit,B2,Noun,,,
der,Faktor,B1,Noun,,,
der,Fall,A2,Noun,,,
die,Familienfeier,B2,Noun,,,
das,Familienfest,B2,Noun,,,
der,Familienname,A1,Noun,Familiennamen,1.1,
die,Familienplanung,B2,Noun,,,
der,Familienstand,B1,Noun,,,
der,Familienurlaub,A2,Noun,,,
der,Fan,A2,Noun,,,
der,Fangkorb,B2,Noun,,,
die,Fantasie,B1,Noun,,,
der,Fasching,B2,Noun,,,
das,Faultier,B2,Noun,,,
das,Fax,A1,Noun,,,
der,Februar,A1,Noun,,1.6,
das,Feedback,A1,Noun,,,
das,Fehlen,A1,Noun,,,
der,Fehler,A1,Noun,,,
die,Feier,A1,Noun,,,
der,Feierabend,A2,Noun,,,
die,Feierlichkeit,B2,Noun,,,
der,Feiertag,A2,Noun,,,
das,Feld,B1,Noun,,,
der,Ferienkurs,B2,Noun,,,
die,Fernbedienung,B1,Noun,,,
die,Ferne,B2,Noun,,,
das,Fernsehen,A1,Noun,,,
der,Fernseher,A2,Noun,,,
der,Fernsehstar,B2,Noun,,,
der,Fernsehturm,B2,Noun,Fernsehtürme,2.2,
das,Fest,A2,Noun,,,
das,Festival,A2,Noun,,,
das,Festland,B2,Noun,,,
die,Festplatte,B1,Noun,,,
das,Fett,A2,Noun,,,
das,Fieber,A2,Noun,,,
die,Figur,B1,Noun,,,
der,Film,A1,Noun,,,
die,Filmbranche,B2,Noun,,,
die,Finanzkrise,B2,Noun,,,
der,Finger,B1,Noun,Finger,1.8,
der,Fingerabdruck,B2,Noun,,,
der,Fingernagel,B2,Noun,,,
die,Firma,A1,Noun,,,
die,Fischstäbchen,B2,Noun,,,
die,Flöte,B2,Noun,,,
der,Flüchtling,B2,Noun,,,
die,Flüchtlingspolitik,B2,Noun,,,
der,Flügel,B2,Noun,,,
die,Flüssigkeit,B1,Noun,,,
die,Flagge,A2,Noun,,,
der,Flaschenöffner,B1,Noun,,,
der,Fleiß,B2,Noun,,,
die,Fleischwurst,B2,Noun,,,
die,Fliegersonnenbrille,B2,Noun,,,
der,Flohmarkt,A2,Noun,,,
die,Flucht,B1,Noun,,,
die,Fluggesellschaft,B2,Noun,,,
das,Flugticket,B1,Noun,,,
der,Flur,B1,Noun,,,
der,Fluss,A2,Noun,,,
der,Fokus,B2,Noun,,,
die,Folge,B1,Noun,,,
die,Fontäne,B2,Noun,,,
die,Forderung,B1,Noun,,,
die,Form,B1,Noun,,,
die,Formel-1,B2,Noun,,,
die,Formulierung,B2,Noun,,,
die,Forschung,B1,Noun,,,
das,Forschungsinstitut,B2,Noun,,,
das,Fortbewegungsmittel,B2,Noun,,,
der,Fortgeschrittene,B2,Noun,,,
die,Fortpflanzung,B2,Noun,,,
der,Fortschritt,B1,Noun,,,
die,Fortsetzung,B1,Noun,,,
das,Forum,B1,Noun,,,
das,Foto,A1,Noun,,,
der,Fotograf,B1,Noun,,,
die,Fotografie,B1,Noun,,,
der,Fotografin,B2,Noun,,,
die,Fotokamera,B2,Noun,,,
das,Frühjahr,A1,Noun,,,
der,Frühling,A1,Noun,Frühlinge,1.6,
die,Frühstückskultur,B2,Noun,,,
das,Fragewort,B2,Noun,,,
das,Frankreich,A1,Noun,,,
die,Französin,A2,Noun,,,
das,Französisch,A1,Noun,,1.7,
der,Freak,B2,Noun,,,
das,Freibad,B2,Noun,,,
die,Freiheit,B1,Noun,,,
der,Freiraum,B2,Noun,,,
die,Freizeit,A1,Noun,,,
die,Freizeitaktivität,B2,Noun,,,
der,Fremde,B2,Noun,,,
die,Fremdsprache,B1,Noun,,,
die,Fremdspracheneinrichtung,B2,Noun,,,
die,Fressmaschine,B2,Noun,,,
der,Freundeskreis,B2,Noun,,,
die,Freundlichkeit,B2,Noun,,,
die,Freundschaft,B2,Noun,,,
der,Friede,B1,Noun,,,
der,Frischkäse,B2,Noun,,,
der,Friseur,B1,Noun,,,
die,Frist,B1,Noun,,,
die,Frucht,B1,Noun,,,
die,Fruchtabteilung,B2,Noun,,,
der,Fußball,A1,Noun,,1.1,
das,Fußballgucken,B2,Noun,,,
die,Fußballnationalmannschaft,B1,Noun,,,
das,Fußballspiel,B2,Noun,,,
der,Fußballverein,B2,Noun,,,
der,Fußgänger,B1,Noun,,,
die,Fußgängerzone,B1,Noun,,,
der,Fuchs,A2,Noun,Füchse,1.4,
das,Fundbüro,B2,Noun,,,
die,Fundsache,B2,Noun,,,
die,Funktion,B1,Noun,,,
das,Gästehaus,B2,Noun,,,
das,Gästezimmer,B2,Noun,,,
die,Galaxie,B2,Noun,,,
die,Galerie,B1,Noun,,,
der,Gang,A2,Noun,,,
die,Garage,A2,Noun,,,
die,Garantie,B1,Noun,,,
die,Garderobe,B2,Noun,,,
die,Gartenabteilung,B2,Noun,,,
der,Gartenstuhl,A2,Noun,,,
das,Gas,B1,Noun,,,
die,Gasse,B2,Noun,,,
die,Gastfamilie,B2,Noun,,,
das,Gasthaus,B1,Noun,,,
der,Gastmoderator,B2,Noun,,,
der,Gastronom,B2,Noun,,,
die,Gastronomie,B2,Noun,,,
das,Gebäck,B1,Noun,,,
das,Gebäude,B1,Noun,,,
die,Gebühr,B1,Noun,,,
das,Gebiet,B1,Noun,,,
das,Gebirge,B1,Noun,,,
die,Gebrauchsanweisung,B2,Noun,,,
die,Geburt,B1,Noun,,,
die,Geburtenrate,B2,Noun,,,
das,Geburtsdatum,A2,Noun,,,
das,Geburtsjahr,A1,Noun,,,
der,Geburtsort,A1,Noun,,,
der,Geburtstag,A1,Noun,Geburtstage,1.6,
die,Geburtstagsparty,A2,Noun,,,
das,Gedächtnis,B2,Noun,,,
der,Gedanke,B1,Noun,,,
das,Gedicht,B1,Noun,,,
die,Geduld,B1,Noun,,,
das,Gefängnis,B1,Noun,,,
das,Gefühl,B1,Noun,,,
die,Gefahr,B1,Noun,,,
die,Gegend,B1,Noun,,,
der,Gegensatz,B1,Noun,,,
die,Gegensprechanlage,B2,Noun,,,
der,Gegenstand,B1,Noun,,,
das,Gegenteil,B1,Noun,,,
das,Gehalt,B1,Noun,,,
die,Gehaltsschere,B2,Noun,,,
das,Geheimnis,B1,Noun,,,
das,Gehirn,B2,Noun,,,
das,Gehirn,B2,Noun,,,
der,Gehsteig,B2,Noun,,,
der,Gehweg,B1,Noun,,,
der,Geist,B2,Noun,,,
die,Gelegenheit,B1,Noun,,,
der,Gemüsekebab,B2,Noun,,,
die,Gemütlichkeit,B2,Noun,,,
die,Gemeinsamkeit,B2,Noun,,,
die,Gemeinschaft,B1,Noun,,,
die,Genauigkeit,B2,Noun,,,
die,Generation,B1,Noun,,,
der,Genozid,B2,Noun,,,
die,Gentrifizierung,B2,Noun,,,
der,Genuss,B2,Noun,,,
die,Geografie,B2,Noun,,,
das,Gepäck,A1,Noun,,,
der,Gepäckträger,B2,Noun,,,
die,Geräuschkulisse,B2,Noun,,,
das,Gerücht,B2,Noun,,,
die,Gerechtigkeit,B2,Noun,,,
das,Gericht,A2,Noun,,,
das,Gerichtsurteil,B2,Noun,,,
das,Gesamt,B1,Noun,,,
der,Gesang,B2,Noun,,,
das,Geschenk,A1,Noun,,,
das,Geschenkartikelgeschäft,B2,Noun,,,
die,Geschichte,A2,Noun,,1.7,
das,Geschichtsbuch,B2,Noun,,,
das,Geschirr,A2,Noun,,,
das,Geschirrhandtuch,B2,Noun,,,
der,Geschmack,B1,Noun,,,
das,Geschrei,B2,Noun,,,
die,Geschwindigkeit,B1,Noun,,,
die,Gesellschaft,B1,Noun,,,
das,Gesetz,B1,Noun,,,
der,Gesichtsausdruck,B2,Noun,,,
das,Gespräch,A1,Noun,,,
die,Gesprächsebene,B2,Noun,,,
die,Gestalt,B2,Noun,,,
das,Gesundheitsproblem,B1,Noun,,,
die,Getränkeabteilung,B2,Noun,,,
die,Gewöhnung,B2,Noun,,,
das,Gewürz,B1,Noun,,,
die,Gewürzgurke,B2,Noun,,,
die,Gewalt,B1,Noun,,,
die,Gewerkschaft,B1,Noun,,,
das,Gewicht,A1,Noun,,,
der,Gewinn,B1,Noun,,,
das,Gewissen,B1,Noun,,,
das,Gewitter,A2,Noun,,,
die,Gewohnheit,B1,Noun,,,
das,Gift,B1,Noun,,,
das,Girokonto,B2,Noun,,,
die,Gitarre,A2,Noun,,,
das,Glück,A1,Noun,,,
die,Glühbirne,B2,Noun,,,
die,Glaubwürdigkeit,B2,Noun,,,
die,Gleichberechtigung,B2,Noun,,,
das,Gleiche,B2,Noun,,,
die,Gleichgültigkeit,B2,Noun,,,
das,Gleis,A1,Noun,,,
die,Globalisierung,B2,Noun,,,
die,Glocke,B2,Noun,,,
das,Golfspiel,B2,Noun,,,
der,Gorilla,A1,Noun,,,
der,Gott,B1,Noun,,,
das,Gottesbild,B2,Noun,,,
der,Gründer,B2,Noun,,,
der,Grünkohl,B2,Noun,,,
der,Grabredner,B2,Noun,,,
der,Grad,A1,Noun,,,
das,Graffiti,B2,Noun,,,
die,Grafik,B1,Noun,,,
das,Grafikdesign,B2,Noun,,,
die,Grammatik,B2,Noun,,,
das,Grammatikthema,B2,Noun,,,
die,Grapefruit,A2,Noun,,,
das,Gras,B1,Noun,,,
die,Gratulation,B1,Noun,,,
die,Grenze,B1,Noun,,,
das,Griechenland,B2,Noun,,,
der,Griff,B1,Noun,,,
der,Grill,B1,Noun,,,
das,Grillen,B1,Noun,,,
das,Grinsen,B2,Noun,,,
die,Grippe,A2,Noun,,,
die,Großstadt,B2,Noun,,,
der,Großteil,B2,Noun,,,
der,Gruß,A1,Noun,,,
die,Grundlage,B2,Noun,,,
das,Grundschulkind,B2,Noun,,,
die,Guacamole,A2,Noun,,,
der,Gummibär,B2,Noun,Gummibären,1.6,
die,Gurke,A2,Noun,,,
das,Gurkenglas,B2,Noun,,,
die,Gurkenlimonade,B2,Noun,,,
der,Gurkensalat,B2,Noun,,,
das,Gymnasium,B2,Noun,,,
die,Gymnastik,B2,Noun,,,
das,Hähnchenfleisch,B1,Noun,,,
die,Höflichkeit,B2,Noun,,,
die,Höhe,B1,Noun,,,
die,Höhenangst,B2,Noun,,,
die,Höhle,B2,Noun,,,
der,Hörer,B2,Noun,,,
die,Hüfte,B2,Noun,,,
der,Hüftschwung,B2,Noun,,,
der,Hügel,B1,Noun,,,
das,Hühnerfrikassee,B2,Noun,,,
die,Hürde,B2,Noun,,,
die,Hürde,B2,Noun,,,
die,Hütte,B2,Noun,,,
der,Haarschnitt,B2,Noun,,,
das,Hackfleisch,B1,Noun,,,
der,Hafen,B1,Noun,,,
die,Haferflocke,B2,Noun,,,
der,Hahn,A1,Noun,Hähne,1.4,
der,Hai,B2,Noun,,,
die,Halbpension,B2,Noun,,,
das,Hallenbad,B2,Noun,,,
das,Hallo,A1,Noun,,,
das,Halloween,A1,Noun,,,
der,Halt,B1,Noun,,,
die,Haltestelle,A1,Noun,,,
der,Hamburger,A2,Noun,Hamburger,1.5,
der,Hammer,B1,Noun,,,
der,Hamster,,Noun,Hamster,1.4,
der,Handel,B1,Noun,,,
das,Handgelenk,B2,Noun,,,
der,Handkäse,B2,Noun,,,
der,Handschuh,B2,Noun,,,
die,Handtasche,B2,Noun,,,
der,Handwerker,B2,Noun,,,
die,Handwerkskammer,B2,Noun,,,
das,Handy,A1,Noun,,,
die,Handynummer,,Noun,Handynummern,1.1,
die,Harmonie,B2,Noun,,,
der,Hase,A2,Noun,,,
der,Hauptbahnhof,B2,Noun,,,
das,Hauptessen,B2,Noun,,,
der,Hauptsatz,B2,Noun,,,
die,Hausaufgabe,A1,Noun,Hausaufgaben,1.7,
der,Hauseingang,B2,Noun,,,
der,Hausflur,B2,Noun,,,
die,Hausfrau,A1,Noun,,,
das,Haushaltswarengeschäft,B2,Noun,,,
der,Hausmeister,B1,Noun,,,
das,Hausschwein,B2,Noun,,,
die,Hautfarbe,B2,Noun,,,
die,Hebamme,B2,Noun,,,
das,Heckenwort,B2,Noun,,,
das,Heft,A2,Noun,Hefte,1.7,
der,Heißhunger,B2,Noun,,,
das,Heim,B2,Noun,,,
die,Heimatstadt,B2,Noun,,,
das,Heimweh,B2,Noun,,,
der,Held,B1,Noun,,,
die,Heldin,B1,Noun,,,
der,Helikopter,A1,Noun,,,
die,Herangehensweise,B2,Noun,,,
die,Herausforderung,B1,Noun,,,
der,Herbst,A1,Noun,Herbste,1.6,
der,Herd,A1,Noun,,,
die,Herkunft,B1,Noun,,,
das,Herkunftsland,B2,Noun,,,
der,Herkunftsstaat,B2,Noun,,,
der,Hersteller,B1,Noun,,,
der,Herzinfarkt,B2,Noun,,,
die,Heulsuse,B2,Noun,,,
die,Hilfe,A1,Noun,,1.6,
die,Himbeere,A1,Noun,,,
die,Hinsicht,B2,Noun,,,
der,Hintergrund,B2,Noun,,,
der,Historiker,B2,Noun,,,
die,Hitze,B1,Noun,,,
das,Hobby,A1,Noun,Hobbys,1.1,
das,Hochbett,B2,Noun,,,
das,Hochdeutsch,B2,Noun,,,
das,Hochzeitslied,B2,Noun,,,
die,Hoffnung,B1,Noun,,,
die,Hoffnungslosigkeit,B2,Noun,,,
der,Holzlöffel,B2,Noun,,,
die,Honigmelone,B2,Noun,,,
der,Horror,B2,Noun,,,
die,Horrorgeschichte,B2,Noun,,,
die,Horrorvorstellung,B2,Noun,,,
der,Hosenanzug,B2,Noun,,,
der,Hubschrauber,,Noun,Hubschrauber,2.2,
der,Humor,B1,Noun,,,
die,Hundeleine,B2,Noun,,,
die,Hundescheiße,B2,Noun,,,
der,Husten,A2,Noun,,,
das,Ideal,B2,Noun,,,
die,Idee,B1,Noun,Ideen,1.2,
die,Identität,A2,Noun,,,
der,Idiot,B2,Noun,,,
der,Imbiss,B1,Noun,,,
der,Immigrationsschalter,B2,Noun,,,
das,Immunsystem,B2,Noun,,,
der,Import,B2,Noun,,,
der,Importeur,B2,Noun,,,
die,Impulsivität,B2,Noun,,,
die,Individualität,B2,Noun,,,
die,Industrie,B1,Noun,,,
die,Infektion,B1,Noun,,,
die,Info,A2,Noun,,,
die,Information,A1,Noun,,,
der,Ingenieur,B1,Noun,,,
der,Inhalt,B1,Noun,Inhalte,2.2,
das,Instrument,A2,Noun,,,
der,Intellekt,B2,Noun,,,
die,Intelligenz,B2,Noun,,,
das,Interesse,A2,Noun,,,
das,Internet,A1,Noun,,,
der,Internist,B2,Noun,,,
das,Interview,A2,Noun,,,
die,Intonation,B2,Noun,,,
die,Islamisierung,B2,Noun,,,
der,Islamismus,B2,Noun,,,
die,IT,B2,Noun,,,
das,Italien,A1,Noun,,,
das,Jahr,A2,Noun,Jahre,1.2,
die,Jahreszeit,B1,Noun,Jahreszeiten,1.6,
das,Jahrhundert,B2,Noun,,,
das,Jahrzehnt,B2,Noun,,,
der,Januar,A1,Noun,,1.6,
die,Jeans,A1,Noun,,,
der,Job,A1,Noun,,,
das,Joggen,A2,Noun,,,
der,Joghurt,B2,Noun,,,
der,Journalist,B1,Noun,,,
die,Journalistin,B1,Noun,,,
die,Jugend,A2,Noun,,,
der,Jugendliche,A1,Noun,Jugendlichen,2.2,
die,Jugendsünde,B2,Noun,,,
die,Jugendsprache,B2,Noun,,,
der,Juli,A1,Noun,,1.6,
der,Juni,A1,Noun,,1.6,
die,Kälte,B1,Noun,,,
das,Känguru,,Noun,Kängurus,1.4,
das,Känguruh,B2,Noun,,,
der,Käsekuchen,B2,Noun,,,
die,Käseplatte,B2,Noun,,,
die,Käsesorte,B2,Noun,,,
der,König,B1,Noun,,,
das,Körperhaar,A1,Noun,,,
der,Körperteil,B2,Noun,,,
der,Küchenbereich,B2,Noun,,,
die,Küchenrolle,B2,Noun,,,
die,Kündigung,B1,Noun,,,
der,Künstler,B1,Noun,,,
die,Künstlerin,B1,Noun,,,
das,Küssen,B2,Noun,,,
die,Küste,B1,Noun,,,
das,Kabel,B1,Noun,,,
die,Kabine,B1,Noun,Kabinen,2.2,
das,Kaffeehaus,B1,Noun,,,
die,Kaffeepause,B2,Noun,,,
der,Kai,B2,Noun,,,
der,Kakao,B1,Noun,Kakaos,1.6,
der,Kaktus,B2,Noun,,,
der,Kalender,A2,Noun,,,
das,Kalenderblatt,B2,Noun,,,
die,Kamera,A2,Noun,,,
der,Kameramann,B2,Noun,,,
der,Kamin,B2,Noun,,,
der,Kampf,B1,Noun,,,
der,Kampfsport,B2,Noun,,,
der,Kanal,B1,Noun,,,
der,Kandidat,B1,Noun,,,
das,Kaninchen,A2,Noun,Kaninchen,1.4,
die,Kanne,B2,Noun,,,
die,Kantine,B1,Noun,,,
das,Kapitel,B2,Noun,,,
das,Karaoke,A2,Noun,,,
der,Karneval,B1,Noun,,,
die,Karotte,B1,Noun,,,
die,Karriere,B1,Noun,,,
die,Karte,A1,Noun,Karten,1.8,
das,Kartenspiel,A2,Noun,,,
der,Kartoffelauflauf,B2,Noun,,,
der,Kartoffelbrei,B2,Noun,,,
das,Kartoffelgericht,B2,Noun,,,
das,Kartoffelpüree,B2,Noun,,,
der,Kartoffelpuffer,B2,Noun,,,
der,Kartoffelsalat,A1,Noun,,,
